Mittlere freie Weglängen für Z = 82
E [keV]	MFWL_t [cm]	MFWL_k [cm]	MFWL_i [cm]	MFWL_e [cm]
1.30000E+04	1.63365E+00	4.84173E+03	8.78166E+00	2.31412E+02
1.40000E+04	1.59378E+00	5.61579E+03	9.27692E+00	2.52196E+02
1.50000E+04	1.55829E+00	6.44502E+03	9.77254E+00	2.73050E+02
1.60000E+04	1.52592E+00	7.33510E+03	1.02628E+01	2.93991E+02
1.80000E+04	1.46922E+00	9.27985E+03	1.12273E+01	3.35878E+02
2.00000E+04	1.42069E+00	1.14563E+04	1.21728E+01	3.77754E+02
2.20000E+04	1.37892E+00	1.38651E+04	1.31105E+01	4.20047E+02
2.40000E+04	1.34218E+00	1.64954E+04	1.40238E+01	4.62096E+02
2.60000E+04	1.31007E+00	1.93605E+04	1.49361E+01	5.04393E+02
2.80000E+04	1.28132E+00	2.24517E+04	1.58319E+01	5.46608E+02
3.00000E+04	1.25559E+00	2.57725E+04	1.67238E+01	5.88964E+02
4.00000E+04	1.15858E+00	4.58253E+04	2.10525E+01	8.00798E+02
5.00000E+04	1.09444E+00	7.16230E+04	2.52196E+01	1.01354E+03
6.00000E+04	1.04862E+00	1.03108E+05	2.92528E+01	1.22609E+03
8.00000E+04	9.86880E-01	1.83301E+05	3.71077E+01	1.65139E+03
1.00000E+05	9.47020E-01	2.86445E+05	4.47099E+01	2.07796E+03
1.50000E+05	8.89780E-01	6.44502E+05	6.27529E+01	3.14212E+03
2.00000E+05	8.58500E-01	1.14563E+06	8.00798E+01	4.20648E+03
3.00000E+05	8.24770E-01	2.57725E+06	1.12934E+02	6.33390E+03
4.00000E+05	8.06660E-01	4.58253E+06	1.44254E+02	8.46954E+03
5.00000E+05	7.95020E-01	7.16230E+06	1.74245E+02	1.05958E+04
6.00000E+05	7.86510E-01	1.03108E+07	2.03480E+02	1.27245E+04
8.00000E+05	7.76130E-01	1.83301E+07	2.60620E+02	1.69848E+04
